Identifier,nBM,nHet,ZM1V,DBI,MAXDN,MAXDP,DELS,CIC0,J_D/Dt,SM1_Dz(Z),SM1_Dz(e),HyWi_B(s),SpMax4_Bh(m),SpMax5_Bh(m),SpMax3_Bh(s),SpMax7_Bh(s),P_VSA_v_2,P_VSA_s_6,Eta_F_A,Eig02_AEA(dm),Eig03_AEA(dm),Eig04_AEA(dm),nHAcc,Uc,nBM,nHet,ZM1V,DBI,MAXDN,MAXDP,DELS,CIC0,J_D/Dt,SM1_Dz(Z),SM1_Dz(e),HyWi_B(s),SpMax4_Bh(m),SpMax5_Bh(m),SpMax3_Bh(s),SpMax7_Bh(s),P_VSA_v_2,P_VSA_s_6,Eta_F_A,Eig02_AEA(dm),Eig03_AEA(dm),Eig04_AEA(dm),nHAcc,Uc
WOVMEB,0.034482758620689655,0.0,0.018611309949892626,0.07332453438920664,0.027142338416848225,0.00818219009954998,0.0019476325009950216,0.2800667222685571,0.03963932584269664,0.29472670358776787,0.4889839572192513,0.12462427745664739,0.1349985132322331,0.11576187239001652,0.12599805258033103,0.14153927253558252,0.0,0.0,0.4018691588785046,0.1293626707132018,0.24830623306233063,0.2007783222830787,0.0,0.3767279559790632,0.3448275862068966,0.5333333333333333,0.4373657838224767,0.5865962751136531,0.22485475671750182,0.042956498022637395,0.06941988607817934,0.690742285237698,0.2726786516853933,0.9556946785456297,0.3257754010695187,0.6356069364161852,0.35494102487858065,0.36224142954258515,0.3219084712755599,0.4938060094886663,,,0.44944774851316904,0.4981031866464339,0.6078929539295393,0.6679158258864225,0.0,0.7960005368406926
PIWKEL,0.05747126436781609,0.08888888888888889,0.11667859699355762,0.14664906877841327,0.18400508351488748,0.36806218464475654,0.06355578319620522,0.3217681401167639,0.18653146067415727,0.4615940284131953,0.6357219251336899,0.5163005780346819,0.21796015462384777,0.22084102165679326,0.8200584225900682,0.4499209277807064,0.25800725436980865,0.17127871532448954,0.5553667516284339,0.45864946889226094,0.5718157181571817,0.6400980109541655,0.10526315789473684,0.4642329888605557,0.017241379310344827,0.08888888888888889,0.06943450250536864,0.07332453438920664,0.02142338416848221,0.008932224192008727,0.0017143733321153833,0.12527105921601328,0.04239101123595505,0.5964363111004094,0.5424598930481284,0.16809248554913292,0.1945683417583507,0.18927843061085753,0.062122687439143065,0.09923563521349499,0.0,0.0,0.27980741999433584,0.7094081942336874,0.6043360433604337,0.6687806284231766,0.0,0.2684203462622467
OTIHIJ,0.1954022988505747,0.044444444444444446,0.1474588403722262,0.302317055286699,0.11011256354393612,0.02413746079367244,0.02004071432765899,0.6003336113427856,0.10423707865168541,0.3551649410065013,0.5411764705882353,0.4952601156069363,0.2730696798493409,0.2648344177915898,0.30555014605647524,0.47192936215076436,0.016029899906113882,0.0,0.6117247238742566,0.4157814871016691,0.5098238482384824,0.5834534447967714,0.05263157894736842,0.6883639779895316,0.034482758620689655,0.0,0.012884753042233358,0.0,0.0,0.0,0.0,0.18098415346121766,0.028089887640449437,0.29472670358776787,0.4889839572192513,0.07306358381502887,0.0,0.02622122948431581,0.09055501460564752,0.0055350553505535,0.0,0.0,0.4083828943642028,0.007018209408194226,0.16937669376693767,0.010377630441049307,0.0,0.3767279559790632
DABLOJ,0.005747126436781609,0.044444444444444446,0.027201145311381535,0.16395365889426605,0.17038852578068267,0.19241783717441702,0.012150682160730248,0.15496246872393665,0.0,0.3922465687454852,0.57475935828877,0.2284393063583815,0.09287342650411338,0.024764494512964946,0.1088607594936708,0.04744333157617292,0.09271895216938492,0.06155169184135688,0.3656188048711413,0.1614188163884674,0.08655149051490515,0.1313058518304987,0.05263157894736842,0.13421017313112335,0.12643678160919541,0.11111111111111112,0.16249105225483176,0.336046341105734,0.2882171387073348,0.3171962361925542,0.06258522931170603,0.5516263552960801,0.13633932584269662,0.4245124006742114,0.6010695187165775,0.571098265895954,0.25106551689959367,0.25162668738467514,0.6958130477117819,0.4988139167105958,0.3267082912213916,0.21156446366840928,0.6159728122344945,0.644916540212443,0.6593834688346883,0.7156240991640241,0.13157894736842105,0.607166823245202
PIGJUK,0.07471264367816091,0.08888888888888889,0.11095204008589835,0.17957178471916704,0.027323892519970954,0.022023728351288692,0.007123376157324338,0.34929107589658037,0.16932022471910113,0.5964363111004094,0.5424598930481284,0.3283236994219656,0.24492021012984438,0.2469651354763523,0.20077896786757554,0.36056931997891406,0.0,0.0,0.4282073067119796,0.7589150227617603,0.6753048780487805,0.7167771692130296,0.0,0.5109381291101865,0.05747126436781609,0.08888888888888889,0.10594130279169649,0.2539961871242118,0.1465141612200436,0.19412246011182327,0.037155086354827976,0.3112593828190158,0.10719325842696628,0.40356368889959066,0.5828877005347594,0.49086705202312153,0.21686985826147287,0.21044964552782364,0.6958130477117819,0.4430680021085926,0.31869205867112665,0.21156446366840928,0.5584820164259416,0.6232928679817904,0.6553184281842819,0.7121648890170078,0.10526315789473684,0.4642329888605557
NAQVOT,0.06321839080459771,0.022222222222222223,0.062276306370794565,0.17194603314268958,0.09667755991285404,0.14359743624710214,0.010119859326778152,0.324603836530442,0.10845505617977527,0.4148808090536961,0.5296256684491978,0.27653179190751453,0.1889186242442264,0.18150917743031947,0.21460564751703992,0.31879283078545073,0.0,0.06666723430342456,0.4344378363069952,0.3480652503793626,0.47171409214092147,0.37849524358604786,0.0,0.48114347067507723,0.06896551724137931,0.2,0.1245526127415891,0.2375714914210295,0.2660675381263617,0.22576026183008321,0.0648085317395588,0.1254378648874061,0.07847865168539325,0.5535757283891163,0.7161497326203208,0.5528323699421969,0.20616513033997425,0.16519374575118967,0.8963972736124635,0.5409857670005271,0.4341617201167675,0.259252762971919,0.5814216935712263,0.5273141122913505,0.6339769647696477,0.4979821274142404,0.15789473684210525,0.4965776405851564
TUYRUB,0.2471264367816092,0.08888888888888889,0.24337866857551896,0.302317055286699,0.0724400871459695,0.1529387699440884,0.04619510253616333,0.6728940783986654,0.1730550561797753,0.4615940284131953,0.6357219251336899,0.5856647398843933,0.2817920507483398,0.3007672137515781,0.3162609542356378,0.4980231945176595,0.11286855430773098,0.07492805204093796,0.6474086661002549,0.45144157814871017,0.5475948509485096,0.6197751513404439,0.10526315789473684,0.7326533351228023,0.011494252873563218,0.0,0.02219040801717967,0.10368089162633817,0.03712781408859841,0.030205918450838674,0.00552971036714667,0.32777314428690574,0.10367977528089886,0.29472670358776787,0.4889839572192513,0.14080924855491328,0.15452472990385574,0.14324560551616977,0.03641674780915294,0.16025303110173958,0.0,0.0,0.31719059756442936,0.2596737481031866,0.38092818428184283,0.3463534159700202,0.0,0.2127231244128305
VOLLUE,0.005747126436781609,0.044444444444444446,0.027201145311381535,0.16395365889426605,0.17038852578068267,0.19241783717441702,0.012150682160730248,0.15496246872393665,0.0,0.3922465687454852,0.57475935828877,0.2284393063583815,0.09287342650411338,0.024764494512964946,0.1088607594936708,0.04744333157617292,0.09271895216938492,0.06155169184135688,0.3656188048711413,0.1614188163884674,0.08655149051490515,0.1313058518304987,0.05263157894736842,0.13421017313112335,0.10344827586206896,0.2,0.22619899785254116,0.41479689103974193,0.3120915032679739,0.33533342424655666,0.12465174242967972,0.5552960800667222,0.20194269662921346,0.49385986034192153,0.6616042780748663,0.6596531791907516,0.2533452274754684,0.26551422744488684,0.7057448880233688,0.8095677385345281,0.6454003498925183,0.42313063024709224,0.6805437553101104,0.7659332321699546,0.7396680216802168,0.7832228307869703,0.23684210526315788,0.570124815461012
FLABPC,0.06896551724137931,0.22222222222222224,0.14459556191839656,0.24321748056899842,0.266884531590414,0.2387835810718669,0.06792572245095033,0.09991659716430362,0.08806516853932583,0.613532386226824,0.7268449197860962,0.558612716763006,0.26305877688571716,0.22356026026998155,0.8969814995131451,0.5387453874538746,0.4341617201167675,0.259252762971919,0.5615972812234494,0.529400606980273,0.6339769647696477,0.5736523493802248,0.15789473684210525,0.4965776405851564,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
NEHCIP,0.034482758620689655,0.13333333333333333,0.13314244810307801,0.1269980935621059,0.27369281045751637,0.3162416473476067,0.06052993873276655,0.10442035029190988,0.06919213483146067,0.6349626775824706,0.6643850267379678,0.5102890173410404,0.2032907126573496,0.18180052442458966,0.9641674780915288,0.28044280442804426,0.15350123385851414,0.10190215077567563,0.3862928348909657,0.38751896813353554,0.4957655826558266,0.42260017296050734,0.10526315789473684,0.3767279559790632,0.10919540229885058,0.0,0.06012884753042233,0.1269980935621059,0.02977487291212782,0.015000681849174963,0.0057287146930439835,0.3734778982485404,0.18733370786516854,0.29472670358776787,0.4889839572192513,0.2927167630057803,0.20101100208147493,0.19151209090026222,0.2163583252190847,0.32551396942540856,0.0,0.0,0.49929198527329366,0.3025417298937785,0.3738143631436314,0.41049293744594983,0.0,0.5800563682727151
