comb,smiles1,smiles2,ZINC1,ZINC2
comb1,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1cc2c3cccc4ccc5ccc(c1)c2c5c34,ZINC000000354958,ZINC000001570229
comb2,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1ccc2c(c1)c3cccc4ccc5cccc2c5c34,ZINC000000354958,ZINC000001570230
comb3,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,ZINC000000354958,ZINC000001570232
comb4,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1cc2ccc3ccc4ccc5ccc6ccc1c7c6c5c4c3c27,ZINC000000354958,ZINC000001580987
comb5,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,C1=Cc2cccc3cccc1c23,ZINC000000354958,ZINC000001689804
comb6,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,ZINC000000354958,ZINC000001693568
comb7,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,O=C1C=Cc2ccc3C(=O)C=Cc4ccc1c2c34,ZINC000000354958,ZINC000001726969
comb8,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1cc2ccc3cccc4ccc(c1)c2c34,ZINC000000354958,ZINC000001758808
comb9,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,Cc1cccc2cccc(C)c12,ZINC000000354958,ZINC000002034704
comb10,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1ccc2c(c1)ccc3ccc4ccccc4c23,ZINC000000354958,ZINC000002040927
comb11,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1ccc2c(c1)ccc3ccc4ccc5ccc6ccccc6c5c4c23,ZINC000000354958,ZINC000002143278
comb12,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,O=C1C(=O)c2cccc3ccc4cccc1c4c23,ZINC000000354958,ZINC000002172036
comb13,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c45,ZINC000000354958,ZINC000002558792
comb14,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,C1=Cc2cc3cccc4ccc5ccc1c2c5c34,ZINC000000354958,ZINC000002558822
comb15,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,c1ccc2c(c1)c3cccc4cccc2c34,ZINC000000354958,ZINC000008585874
