smiles,price(/1g),number_of_cocrystals,name,ccdc_entry,
O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,NA,0,,,
c1cc2c3cccc4ccc5ccc(c1)c2c5c34,6370,0,,,
c1ccc2c(c1)c3cccc4ccc5cccc2c5c34,3440,0,,,
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,112,3,"1,12-benzoperylene",BNPERY,
c1cc2ccc3ccc4ccc5ccc6ccc1c7c6c5c4c3c27,181,58,coronene,,
C1=Cc2cccc3cccc1c23,10,1,Acenaphthylene,,
c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,44,101,perylene,,
O=C1C=Cc2ccc3C(=O)C=Cc4ccc1c2c34,NA,119,,,
Cc1cccc2cccc(C)c12,NA,0,"1,8-Dimethylnaphthalene",,
c1ccc2c(c1)ccc3ccc4ccccc4c23,61.69,1,AR-G 3 BENZO(C)PHENANTHRENE,,
c1ccc2c(c1)ccc3ccc4ccc5ccc6ccccc6c5c4c23,NA,0,,,
O=C1C(=O)c2cccc3ccc4cccc1c4c23,1267,0,"PYRENE-4,5-DIONE",,
c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c45,4090,3,Anthanthrene,,
C1=Cc2cc3cccc4ccc5ccc1c2c5c34,NA,0,Cyclopenta[cd]pyrene,,
c1ccc2c(c1)c3cccc4cccc2c34,1.08,27,Fluoranthene,,
COc1ccc2ccc3c(OC)ccc4ccc1c2c34,NA,0,"1,6-Dimethoxypyrene",,
C1=CC2=Cc3cccc4cccc(C=C2C=C1)c34,NA,0,,,
c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c9c2c3c%10c4c5c6c7c%10c89,NA,0,Ovalene,,
c1cc2cccc3c4ccc5c6cccc7cccc(c8ccc(c(c1)c23)c4c58)c67,NA,0,Terrylene,,
c1cc2cc3ccc4cc5ccc6ccc7cc8ccc9cc%10ccc1c%11c%10c%12c9c8c%13c7c6c5c%14c4c3c(c2%11)c%12c%13%14,NA,0,,,
c1cc2cccc3c4ccc5c6ccc7c8cccc9cccc(c%10ccc(c%11ccc(c(c1)c23)c4c5%11)c6c7%10)c89,NA,0,Quaterrylene,,
c1cc2ccc3c4ccc5ccc6ccc7ccc8c9ccc%10ccc1c%11c%10c9c(c3c2%11)c%12c8c7c6c5c4%12,NA,0,Circobiphenyl,,
c1cc2ccc3cc4cc5ccc6ccc7ccc8cc9cc%10ccc1c%11c2c3c%12c4c%13c5c6c7c8c%13c9c%12c%10%11,NA,0,,,
